Id	Name	Recycled	Cr min	Cr max	Cd min	Cd max	Dr min	Dr max	Fl min	Fl max	Hr min	Hr max	Ma min	Ma max	Pe min	Pe max	Oq min	Oq max	Sr min	Sr max	Ut min	Ut max	Er min	Er max	Container
organic	Organic		0	0	0	0	1	1000	1	1000	0	0	1	1000	1	1000	1	1000	1	1000	1	1000	0	0	object/resource_container/organic_food.iff
creature_resources	Creature Resources		0	0	0	0	1	1000	1	1000	0	0	1	1000	1	1000	1	1000	1	1000	1	1000	0	0	object/resource_container/organic_food.iff
creature_food	Creature Food		0	0	0	0	1	1000	1	1000	0	0	0	0	1	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
milk	Milk		0	0	0	0	1	1000	1	1000	0	0	0	0	1	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
milk_homogenized	Homogenized Milk	1	0	0	0	0	200	200	200	200	0	0	0	0	200	200	200	200	0	0	0	0	0	0	object/resource_container/organic_food.iff
milk_domesticated	Domesticated Milk		0	0	0	0	1	1000	1	700	0	0	0	0	300	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_bottle_milk.iff
milk_domesticated_corellia	Corellian Domesticated Milk		0	0	0	0	1	1000	1	700	0	0	0	0	300	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_bottle_milk.iff
milk_domesticated_dantooine	Dantooine Domesticated Milk		0	0	0	0	1	1000	1	700	0	0	0	0	300	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_bottle_milk.iff
milk_domesticated_dathomir	Dathomirian  Domesticated Milk		0	0	0	0	1	1000	1	700	0	0	0	0	300	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_bottle_milk.iff
milk_domesticated_endor	Endorian Domesticated Milk		0	0	0	0	1	1000	1	700	0	0	0	0	300	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_bottle_milk.iff
milk_domesticated_lok	Lokian Domesticated Milk		0	0	0	0	1	1000	1	700	0	0	0	0	300	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_bottle_milk.iff
milk_domesticated_naboo	Nabooian Domesticated Milk		0	0	0	0	1	1000	1	700	0	0	0	0	300	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_bottle_milk.iff
milk_domesticated_rori	Rori Domesticated Milk		0	0	0	0	1	1000	1	700	0	0	0	0	300	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_bottle_milk.iff
milk_domesticated_talus	Talusian Domesticated Milk		0	0	0	0	1	1000	1	700	0	0	0	0	300	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_bottle_milk.iff
milk_domesticated_tatooine	Tatooinian Domesticated Milk		0	0	0	0	1	1000	1	700	0	0	0	0	300	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_bottle_milk.iff
milk_domesticated_yavin4	Yavinian Domesticated Milk		0	0	0	0	1	1000	1	700	0	0	0	0	300	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_bottle_milk.iff
milk_domesticated_kashyyyk	Kashyyykian Domesticated Milk		0	0	0	0	1	1000	1	700	0	0	0	0	300	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_bottle_milk.iff
milk_domesticated_mustafar	Mustafarian Domesticated Milk		0	0	0	0	1	1000	1	700	0	0	0	0	300	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_bottle_milk.iff
milk_wild	Wild Milk		0	0	0	0	1	1000	300	1000	0	0	0	0	1	700	1	1000	0	0	0	0	0	0	object/resource_container/organic_bottle_milk.iff
milk_wild_corellia	Corellian Wild Milk		0	0	0	0	1	1000	300	1000	0	0	0	0	1	700	1	1000	0	0	0	0	0	0	object/resource_container/organic_bottle_milk.iff
milk_wild_dantooine	Dantooine Wild Milk		0	0	0	0	1	1000	300	1000	0	0	0	0	1	700	1	1000	0	0	0	0	0	0	object/resource_container/organic_bottle_milk.iff
milk_wild_dathomir	Dathomirian Wild Milk		0	0	0	0	1	1000	300	1000	0	0	0	0	1	700	1	1000	0	0	0	0	0	0	object/resource_container/organic_bottle_milk.iff
milk_wild_endor	Endorian Wild Milk		0	0	0	0	1	1000	300	1000	0	0	0	0	1	700	1	1000	0	0	0	0	0	0	object/resource_container/organic_bottle_milk.iff
milk_wild_lok	Lokian Wild Milk		0	0	0	0	1	1000	300	1000	0	0	0	0	1	700	1	1000	0	0	0	0	0	0	object/resource_container/organic_bottle_milk.iff
milk_wild_naboo	Nabooian Wild Milk		0	0	0	0	1	1000	300	1000	0	0	0	0	1	700	1	1000	0	0	0	0	0	0	object/resource_container/organic_bottle_milk.iff
milk_wild_rori	Rori Wild Milk		0	0	0	0	1	1000	300	1000	0	0	0	0	1	700	1	1000	0	0	0	0	0	0	object/resource_container/organic_bottle_milk.iff
milk_wild_talus	Talusian Wild Milk		0	0	0	0	1	1000	300	1000	0	0	0	0	1	700	1	1000	0	0	0	0	0	0	object/resource_container/organic_bottle_milk.iff
milk_wild_tatooine	Tatooinian Wild Milk		0	0	0	0	1	1000	300	1000	0	0	0	0	1	700	1	1000	0	0	0	0	0	0	object/resource_container/organic_bottle_milk.iff
milk_wild_yavin4	Yavin IV Wild Milk		0	0	0	0	1	1000	300	1000	0	0	0	0	1	700	1	1000	0	0	0	0	0	0	object/resource_container/organic_bottle_milk.iff
milk_wild_kashyyyk	Kashyyykian Wild Milk		0	0	0	0	1	1000	300	1000	0	0	0	0	1	700	1	1000	0	0	0	0	0	0	object/resource_container/organic_bottle_milk.iff
milk_wild_mustafar	Mustafarian Wild Milk		0	0	0	0	1	1000	300	1000	0	0	0	0	1	700	1	1000	0	0	0	0	0	0	object/resource_container/organic_bottle_milk.iff
meat	Meat		0	0	0	0	1	1000	1	1000	0	0	0	0	1	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
processed_meat	Processed Meat	1	0	0	0	0	200	200	200	200	0	0	0	0	200	200	200	200	0	0	0	0	0	0	object/resource_container/organic_food.iff
meat_domesticated	Domesticated Meat		0	0	0	0	1	1000	300	1000	0	0	0	0	1	700	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
meat_domesticated_corellia	Corellian Domesticated Meat		0	0	0	0	1	1000	300	1000	0	0	0	0	1	700	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
meat_domesticated_dantooine	Dantooine Domesticated Meat		0	0	0	0	1	1000	300	1000	0	0	0	0	1	700	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
meat_domesticated_dathomir	Dathomirian Domesticated Meat		0	0	0	0	1	1000	300	1000	0	0	0	0	1	700	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
meat_domesticated_endor	Endorian Domesticated Meat		0	0	0	0	1	1000	300	1000	0	0	0	0	1	700	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
meat_domesticated_lok	Lokian Domesticated Meat		0	0	0	0	1	1000	300	1000	0	0	0	0	1	700	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
meat_domesticated_naboo	Nabooian Domesticated Meat		0	0	0	0	1	1000	300	1000	0	0	0	0	1	700	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
meat_domesticated_rori	Rori Domesticated Meat		0	0	0	0	1	1000	300	1000	0	0	0	0	1	700	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
meat_domesticated_talus	Talusian Domesticated Meat		0	0	0	0	1	1000	300	1000	0	0	0	0	1	700	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
meat_domesticated_tatooine	Tatooinian Domesticated Meat		0	0	0	0	1	1000	300	1000	0	0	0	0	1	700	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
meat_domesticated_yavin4	Yavinian Domesticated Meat		0	0	0	0	1	1000	300	1000	0	0	0	0	1	700	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
meat_domesticated_kashyyyk	Kashyyykian Domesticated Meat		0	0	0	0	1	1000	300	1000	0	0	0	0	1	700	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
meat_domesticated_mustafar	Mustafarian Domesticated Meat		0	0	0	0	1	1000	300	1000	0	0	0	0	1	700	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
meat_wild	Wild Meat		0	0	0	0	1	1000	1	700	0	0	0	0	300	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
meat_wild_corellia	Corellian Wild Meat		0	0	0	0	1	1000	1	700	0	0	0	0	300	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
meat_wild_dantooine	Dantooine Wild Meat		0	0	0	0	1	1000	1	700	0	0	0	0	300	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
meat_wild_dathomir	Dathomirian Wild Meat		0	0	0	0	1	1000	1	700	0	0	0	0	300	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
meat_wild_endor	Endorian Wild Meat		0	0	0	0	1	1000	1	700	0	0	0	0	300	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
meat_wild_lok	Lokian Wild Meat		0	0	0	0	1	1000	1	700	0	0	0	0	300	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
meat_wild_naboo	Nabooian Wild Meat		0	0	0	0	1	1000	1	700	0	0	0	0	300	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
meat_wild_rori	Rori Wild Meat		0	0	0	0	1	1000	1	700	0	0	0	0	300	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
meat_wild_talus	Talusian Wild Meat		0	0	0	0	1	1000	1	700	0	0	0	0	300	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
meat_wild_tatooine	Tatooinian Wild Meat		0	0	0	0	1	1000	1	700	0	0	0	0	300	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
meat_wild_yavin4	Yavinian Wild Meat		0	0	0	0	1	1000	1	700	0	0	0	0	300	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
meat_wild_kashyyyk	Kashyyykian Wild Meat		0	0	0	0	1	1000	1	700	0	0	0	0	300	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
meat_wild_mustafar	Mustafarian Wild Meat		0	0	0	0	1	1000	1	700	0	0	0	0	300	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
meat_herbivore	Herbivore Meat		0	0	0	0	1	1000	1	700	0	0	0	0	1	700	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
meat_herbivore_corellia	Corellian Herbivore Meat		0	0	0	0	1	1000	1	700	0	0	0	0	1	700	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
